MUNICÍPIO,NOME DA BIBLIOTECA,ENDEREÇO DE ENTREGA,ORGÃO PÚBLICO RESPONSÁVEL,SERVIDOR PÚBLICO RESPONSÁVEL,CONTATO
AMPARO DO SÃO FRANCISCO,Biblioteca Pública Municipal Antonio Freire De Souza,Av. Abraão Freire,Secretaria Municipal de Educação,Hercules Soares dos Santos,79988180820
AQUIDABÃ,"Biblioteca Pública Municipal Professor Lauro Rocha
De Lima",Av. Paraguai,Secretaria Municipal de Educação,Carlos Alberto Matos de Lima,999830935
ARACAJU,"Biblioteca Pública Municipal Biblioteca Pública
Estadual Epiphanio Doria","Rua Leonardo Leite, S/N",SEDUC,Juciene Maria Santos de Jesus,3179-1907
ARACAJU,Biblioteca Pública Municipal Ivone Menezes,"Praça Major Edeltrudes Teles, S/N- Final de Linha do Conjunto Augusto
Franco - Bairro Farolândia",Fundação Cultural Cidade de Aracaju,Fabiana Bispo Santos Cruz,988010344
ARACAJU,Biblioteca Pública Mário Cabral,Praça General Valadão s/n,"Fundação Cultural
Cidade de Aracaju","VERONICA CARDOSO
DE SANTANA",79.998.952.476
ARACAJU,Biblioteca Pública Municipal Clodomir Silva,"R. Santa Catarina, 314 - Siqueira
Campos, Aracaju - SE, 49075-520","Fundação Cultural
Cidade de Aracaju","Nancy Teresa
Vasconcelos Lima","(79)3179-6411 /
998381710"
ARAUÁ,Biblioteca Pública Municipal Afonso De Menezes,"Praça Coronel João Neto, s/n, Centro,
49220-000, Arauá, SE",Cultura,José Marcos Araújo Lima,79.998.924.630
AREIA BRANCA,"Biblioteca Pública Municipal Professora Josefina S De
Araujo",Rua Sen. Valter Franco,Secretaria de cultura turismo esporte e lazer,Maria Djalma Dias Ribeiro,98856-7370
BARRA DOS COQUEIROS,Biblioteca Pública Municipal Maria Helena Reis De Moura,"Av. Moisés Gomes Pereira, 16, Barra dos Coqueiros - SE, 49140-000",Cultura,Maria da Silva Santos,999873797
BOQUIM,Biblioteca Pública Municipal Hermes Fontes,"Av. Manoel Eugênio, S/N - Centro - Boquim/SE","Secretaria de Educação, Cultura, Esporte, Lazer e Turismo.",Maria Caitana de Lima Mota,79.988.421.229
BREJO GRANDE,Biblioteca Pública Municipal Erílio Mateus,Rua Juvina Torjal,Cultura,"Jeane Guedes dos
Santos",79998153623
CAMPO DO BRITO,Biblioteca Pública Municipal Emeliano José Ribeiro,"Pça Nossa Sra da Boa Hora, n° 29 - Centro. CEP 49520 -000",Secretaria de Educação,Ana Maria Menezes,988.440.088
CANHOBA,"Biblioteca Pública Municipal Maria Luciana Dos
Santos",Av. Eronides Ferreira de Carvalho,Cultura,Solange Vieira de Matos,"79 998276508 /
999107272"
"CANINDÉ DO SÃO
FRANCISCO","Biblioteca Pública Municipal Promotor De Justiça
Paulo Costa","Praça Ananibas Fernandes dos Santos, S/N",Turismo,roseliamariana44@hotm ail.com,79.999.824.699
CAPELA,Biblioteca Pública Municipal Messias Sukita Santos,"Rua Coelho e Campos, 1201","Secretaria da Cultura, Comunicação Social e
Eventos",Márcio Fabiano Santana de Melo,7932632020
CARIRA,Biblioteca Pública Municipal Emeliano José Ribeiro,"R. Ananias José dos Santos, 628 - 722",Secretaria ou Diretoria de Educação,José Hilton Pereira de Lima,9 9904 9391
CARMÓPOLIS,Biblioteca Pública Municipal José Amado Alves,"Av. Getúlio Vargas, sem ñ. Ém frente
ao Gbarbosa",Administração,Cristiane Santos Dantas,998512610
CEDRO DE SÃO JOÃO,Biblioteca Pública Municipal José Álvares Da Rocha,"R. Antônio Batista, 111",Educação,Antônio Roberto Rocha,9 9810 0012
CRISTINAPÓLIS,"Biblioteca Pública Municipal  José Genésio Monte
Alegre de Góis",Rua Epaminondas Menezes Reis s/n,Cultura,Néia Brasil,79 9 88529038
CUMBE,Biblioteca Pública Municipal Murilo Xavier,"Rua José Arquibaldo de Araújo
Mendonça","Secretaria Municipal de
Educação",Ítalo dos Santos,998464003
DIVINA PASTORA,Biblioteca Pública Municipal  Irmã Vera França,"Praça da Matriz, 49",Educação,"Shirley da Anunciação
Cruz",3271 1239 / 999667328
ESTÂNCIA,Biblioteca Pública Municipal Monsenhor Silveira,"Praça Jackson Figueiredo, 49. Centro","Secretária de Cultura e
Turismo","Mariana Barreto
Nascimento",79-99946-2927
FEIRA NOVA,Biblioteca Pública Municipal Manoel Joaquim Dos Santos,Praca Tancredo Neves - s/n,"EDUCAÇÃO, CULTURA,ESPORTE E
LAZER","Avenida Jose Alves de Queiroz, 310",999967189 / 33131074
FREI PAULO,Biblioteca Pública Municipal Josias Sousa Macedo,Praça João Teles da Costa,"Barbosa, s/n",Iracema Matos dos Santos,981690326
GARARU,Biblioteca Pública Municipal Olga do Couto Correira,Complexo turístico Orla de Gararu,"Secretaria de Esportes Eventos Cultura e
Turismo",Adalmir Medeiros Filho,79.999.332.313
GENERAL MAYNARD,Biblioteca Pública Municipal Professora Maria de Lourdes Cruz,Rua Santa Cruz,"Aqui estamos com uma dúvida se é educação ou cultura, pois não temos um documento
informando",Maira,79 9 9919-4188
GRACHO CARDOSO,Biblioteca Pública Municipal  de Graccho Cardoso,"Rod. P Aquidabã, 15a",Secretaria de Educação,Clezimary,996.114.187
ILHA DAS FLORES,Biblioteca Pública Municipal Santa Maria Gorette,"Praça: Carlos Roberto Oliveira
Cavalcante s/n","Secretaria Municipal
Esporte Cultura",Norma cravo dos santos,79.999.472.522
